,County,Population,White Population,% White,Black Population,% Black,Asian Population,% Asian,Hispanic Population,% Hispanic
167,"Pike County, Arkansas",10171,8681,0.8535050634155934,241,0.023694818601907384,16,0.0015730999901681251,831,0.081702880739357
168,"Poinsett County, Arkansas",22965,19391,0.8443718702373176,1783,0.07763988678423689,61,0.0026562159808404093,829,0.03609841062486392
169,"Polk County, Arkansas",19221,16428,0.8546901826127673,43,0.0022371364653243847,100,0.0052026429426148485,1278,0.06648977680661776
170,"Pope County, Arkansas",63381,51409,0.8111105851911456,2100,0.03313295782647797,679,0.010712989697227875,6415,0.1012132973604077
171,"Prairie County, Arkansas",8282,6964,0.8408596957256701,925,0.1116879980680995,21,0.0025356194156000967,145,0.017507848345810192
172,"Pulaski County, Arkansas",399125,199197,0.4990842467898528,143548,0.359656749138741,10035,0.02514249921703727,33153,0.08306420294393987
173,"Randolph County, Arkansas",18571,16684,0.8983899628452964,140,0.007538635506973238,75,0.00403855473587852,384,0.020677400247698024
174,"St. Francis County, Arkansas",23090,9551,0.41364226938068427,12561,0.5440017323516674,127,0.005500216543958424,686,0.02970983109571243
175,"Saline County, Arkansas",123416,98388,0.7972061969274649,10414,0.0843812795747715,1467,0.01188662734167369,8507,0.06892947429830816
176,"Scott County, Arkansas",9836,8210,0.8346888979259862,35,0.0035583570557137048,278,0.028263521756811714,748,0.07604717364782432
177,"Searcy County, Arkansas",7828,7123,0.9099386816555953,5,0.0006387327542156362,20,0.0025549310168625446,140,0.01788451711803781
178,"Sebastian County, Arkansas",127799,86828,0.6794106370159391,8061,0.06307561092027324,5789,0.04529769403516459,19328,0.15123749012120596
179,"Sevier County, Arkansas",15839,9594,0.605720058084475,578,0.036492202790580214,65,0.004103794431466633,5508,0.3477492265925879
180,"Sharp County, Arkansas",17271,15876,0.9192287649817613,118,0.00683226217358578,60,0.0034740316136876847,362,0.020959990735915698
181,"Stone County, Arkansas",12359,11488,0.929525042479165,21,0.0016991665992394207,30,0.002427380856056315,271,0.021927340399708714
182,"Union County, Arkansas",39054,23216,0.5944589542684489,12729,0.3259333230911046,280,0.00716956009627695,1754,0.04491217288882061
183,"Van Buren County, Arkansas",15796,14485,0.9170043048873132,77,0.004874651810584958,56,0.0035452013167890607,501,0.031716890351987846
184,"Washington County, Arkansas",245871,168351,0.6847127152043144,8652,0.03518918457239772,5718,0.023256097709774638,44755,0.18202634714952148
185,"White County, Arkansas",76822,65237,0.8491968446538752,3728,0.048527765483845776,623,0.008109656088099763,3499,0.045546848559006536
186,"Woodruff County, Arkansas",6269,4255,0.6787366406125379,1613,0.25729781464348384,22,0.0035093316318392086,96,0.015313447120752912
187,"Yell County, Arkansas",20263,15330,0.7565513497507773,251,0.012387109509944233,202,0.009968908848640379,4204,0.20747174653308986
188,"Alameda County, California",1682353,523836,0.3113710380639497,164879,0.09800499657325187,545261,0.324106177478805,393749,0.23404660020816084
189,"Alpine County, California",1204,814,0.6760797342192691,10,0.008305647840531562,12,0.009966777408637873,84,0.06976744186046512
190,"Amador County, California",40474,31104,0.7684933537579681,1236,0.030538123239610613,582,0.014379601719622473,6014,0.14858921776943224
191,"Butte County, California",211632,149557,0.7066842443486807,3644,0.01721856808044152,10533,0.04977035608981629,40112,0.18953655401829592
192,"Calaveras County, California",45292,36315,0.8017972268833348,364,0.008036739380022962,743,0.01640466307515676,5865,0.129493067208337
193,"Colusa County, California",21839,9364,0.42877421127341,198,0.009066349191812812,276,0.012637941297678465,13476,0.617061220751866
194,"Contra Costa County, California",1165927,501697,0.4302988094451882,101485,0.08704232769290016,217823,0.18682387490812033,314900,0.2700855199339238
195,"Del Norte County, California",27743,17193,0.6197238943156832,855,0.030818584868255054,840,0.030277907940741807,5321,0.191796128753199
196,"El Dorado County, California",191185,146624,0.7669220911682402,1537,0.008039333629730366,9200,0.0481209299892774,26459,0.13839474854198813
197,"Fresno County, California",1008654,374678,0.37146335611617065,48707,0.04828910607601814,113328,0.11235567399722798,540743,0.5361035597935466
198,"Glenn County, California",28917,15753,0.5447660545699762,177,0.006120966905280631,647,0.022374381851506035,12541,0.4336895251927932
199,"Humboldt County, California",136463,98095,0.7188395389226384,1879,0.013769300103324712,3615,0.026490697112037696,18535,0.13582436264775066
200,"Imperial County, California",179702,47537,0.2645323925164995,4362,0.02427351949338349,3049,0.016966978664678188,153027,0.851559804565336
201,"Inyo County, California",19016,11752,0.6180058897770299,97,0.005100967606226336,282,0.014829617164493058,4399,0.2313315103071098
202,"Kern County, California",909235,371734,0.40884259844814597,50130,0.05513426121959669,46777,0.051446545722502984,499158,0.5489867855944833
203,"Kings County, California",152486,61226,0.40151882795797644,9023,0.0591726453576066,5923,0.03884291016880238,86607,0.5679668953215378
204,"Lake County, California",68163,46858,0.6874404002171266,1199,0.01759018822528351,1004,0.014729398647360005,15442,0.2265451931399733
205,"Lassen County, California",32730,21066,0.6436296975252063,2277,0.0695692025664528,494,0.015093186678887871,7531,0.23009471432936143
206,"Los Angeles County, California",10014009,3259427,0.3254867256460425,794364,0.07932527322473946,1499984,0.14978856120460846,4804763,0.47980414237694413
207,"Madera County, California",156255,65248,0.41757383763719563,4596,0.029413458769319382,3907,0.025003999872004096,93178,0.5963201177562318
208,"Marin County, California",262321,179377,0.6838072437967223,6339,0.024165049691027406,16431,0.06263699818161718,49410,0.18835701297265564
209,"Mariposa County, California",17131,13385,0.7813320880275524,108,0.006304360516023583,298,0.017395365127546553,2140,0.12491973615083767
210,"Mendocino County, California",91601,59510,0.6496653966659752,642,0.007008657110730232,1788,0.01951943756072532,23933,0.2612744402353686
211,"Merced County, California",281202,104534,0.3717398880520053,9158,0.032567335936444265,20715,0.07366590564789724,173857,0.6182637392337181
212,"Modoc County, California",8700,6772,0.7783908045977012,67,0.0077011494252873566,61,0.007011494252873563,1259,0.14471264367816092
